,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04649222092791776,0.0,0.9535077790720822
B_GC_DZ,,,,,,,,,,,
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013078588690804646,0.0,0.9869214113091953
B_GC_prePB,,,,,,,,,,,
B_IFN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_activated,,,,,,,,,,,
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015239171092288844,0.999847608289077,0.0
B_naive,0.0,0.0,0.0,0.0,0.0009612786706753309,0.9971659050273678,0.0,0.00010917642130814839,0.0009494336620485292,0.0,0.0008142062186002038
B_plasma,0.0,0.0,0.0,0.0,0.5282254299953406,0.12114674488232353,0.0,0.35062782512233587,0.0,0.0,0.0
B_preGC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DC_CCR7+,,,,,,,,,,,
DC_cDC1,,,,,,,,,,,
DC_cDC2,,,,,,,,,,,
DC_pDC,,,,,,,,,,,
Endo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDC,0.0,0.0,0.0,0.0,0.0,0.001874719883010444,0.0,0.0,0.0020964602310335027,0.0,0.996028819885956
ILC,,,,,,,,,,,
Macrophages_M1,0.0,0.0,0.0,0.0,0.0005688893992291749,0.0008154006663004349,0.0,0.0005338082074967121,0.9939571709993696,0.0,0.00412473072760418
Macrophages_M2,0.0,0.0,0.0,0.0,0.002104000067217539,0.0,0.0,0.9973913907743861,0.0005046091583964746,0.0,0.0
Mast,,,,,,,,,,,
Monocytes,,,,,,,,,,,
NK,,,,,,,,,,,
NKT,,,,,,,,,,,
T_CD4+,0.995106795492431,0.0,0.0,0.0040534992846621,0.0008397052229068786,0.0,0.0,0.0,0.0,0.0,0.0
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.0,0.530853576115293,0.0,0.0,0.4691464238847069,0.0,0.0
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
T_CD4+_naive,0.0036213676086710262,0.0,0.0,0.9946361228500807,0.0017425095412482374,0.0,0.0,0.0,0.0,0.0,0.0
T_CD8+_CD161+,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD8+_cytotoxic,0.0007276138507329038,0.0,0.0,0.003336718844598772,0.9924845562053369,0.0010799669073262587,0.0,0.001957514906681432,0.0004136292853237414,0.0,0.0
T_CD8+_naive,,,,,,,,,,,
T_TIM3+,,,,,,,,,,,
T_TfR,0.3908593951113562,0.0,0.0,0.5975595065709681,0.0,0.0,0.0,0.0,0.011581098317675684,0.0,0.0
T_Treg,0.0,0.0,0.0,0.6796556063364322,0.0,0.10537555166993093,0.0,0.05974283308990649,0.10187040112100962,0.0,0.053355607782720894
VSMC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
